,AFFILIATE|DESKTOP,AFFILIATE|MOBILE,B2B|DESKTOP,B2B|MOBILE,CONVERSION,DIRECT|DESKTOP,DIRECT|MOBILE,DISPLAY|DESKTOP,DISPLAY|MOBILE,ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,EMAIL|DESKTOP,EMAIL|MOBILE,NATURAL SEARCH|DESKTOP,NATURAL SEARCH|MOBILE,Null,OTHER|DESKTOP,OTHER|MOBILE,PAID SEARCH|DESKTOP,PAID SEARCH|MOBILE,REFERRAL ENGINE|DESKTOP,REFERRAL ENGINE|MOBILE,RESLINK|DESKTOP,RESLINK|MOBILE,SOCIAL MEDIA|DESKTOP,SOCIAL MEDIA|MOBILE,Start,TEST|DESKTOP,TEST|MOBILE,UNPAID REFERRER|DESKTOP,UNPAID REFERRER|MOBILE,Time_Period
EMAIL|MOBILE,0.000635932,0.001657711,0,0,0.042728936,0.01292586,0.13048045,9.29E-05,0.000971762,0.000171487,0.005001715,0.004251458,0.160197782,0.014526409,0.071217274,0.247491997,0.002486567,0.010689379,0.00255802,0.016362753,0.001007488,0.00290814,0.000214359,0.001307591,3.57E-05,0.000407282,0,0,9.29E-05,0.001114668,0.004758774,21-Mar
NATURAL SEARCH|DESKTOP,0.009026408,0.000108481,1.10E-06,0,0.157472058,0.085992768,0.065219154,0.000485974,4.33E-05,0.003504274,0.000121083,0.012150997,0.000560487,0.324547995,0.005201622,0.166917598,0.009103112,0.001539557,0.10668146,0.001188363,0.026656257,0.000137519,0.003607824,0.000110125,0.00126945,2.85E-05,0,7.01E-05,5.48E-07,0.018067609,0.000186281,21-Mar
NATURAL SEARCH|MOBILE,0.000710978,0.003694876,0,0,0.157842679,0.012035055,0.108365229,8.47E-05,0.000672298,0.000182349,0.007992058,0.000978055,0.025919391,0.025477332,0.392723341,0.154853255,0.001361173,0.013436751,0.003567784,0.046150956,0.00109778,0.026210413,0.000222871,0.00307231,6.63E-05,0.000849122,0,0,5.16E-05,0.001401695,0.01097964,21-Mar
Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Mar
OTHER|DESKTOP,0.008903456,0.000387107,1.29E-05,0,0.121364422,0.307001471,0.050446463,0.001309711,6.45E-05,0.004638829,0.000412914,0.009238948,0.001832305,0.114848125,0.006142094,0.072808331,0.243896617,0.001671011,0.014987484,0.001651656,0.011903533,0.000303234,0.004180753,0.000212909,0.000722599,7.10E-05,0,7.10E-05,0,0.020439237,0.000477432,21-Mar
OTHER|MOBILE,0.002675425,0.001485306,0,0,0.030929043,0.044596671,0.146351863,0.000192106,0.000398268,0.001007384,0.002141277,0.005472674,0.007075118,0.036373604,0.042174263,0.026351301,0.002478634,0.619419559,0.006559712,0.007815428,0.001386911,0.003307969,0.000684084,0.001808606,0.000206162,0.000206162,0,4.69E-06,4.69E-06,0.004362209,0.004530887,21-Mar
PAID SEARCH|DESKTOP,0.011334426,0.000175422,0,0,0.198062479,0.089214753,0.082333904,0.000445716,9.67E-05,0.003451165,0.000137832,0.012678734,0.000665889,0.186185676,0.005089036,0.068575786,0.004754301,0.001958285,0.303235288,0.002926688,0.01002413,0.000132462,0.002518563,0.000109191,0.001290607,4.48E-05,0,6.98E-05,1.79E-06,0.014232474,0.000254183,21-Mar
PAID SEARCH|MOBILE,0.001133375,0.005023782,0,0,0.140678624,0.013804257,0.126116661,0.000133713,0.000713135,0.000191018,0.004297912,0.000955092,0.011321019,0.022400082,0.143371983,0.183963375,0.001432637,0.008805944,0.007214125,0.309736204,0.000916888,0.006004342,0.000152815,0.001579085,5.73E-05,0.000738604,0,6.37E-06,6.37E-06,0.001324394,0.007920893,21-Mar
REFERRAL ENGINE|DESKTOP,0.010151457,0.000137859,1.25E-05,0,0.173452059,0.082972497,0.055895678,0.000526372,3.76E-05,0.004330035,0.000137859,0.013203161,0.000714362,0.218268863,0.005533171,0.058934849,0.021618844,0.00155405,0.041702437,0.001221935,0.262177049,0.000695563,0.003446482,0.000106528,0.009825608,6.27E-05,0,3.76E-05,0,0.032860643,0.000382246,21-Mar
REFERRAL ENGINE|MOBILE,0.00048526,0.003396822,0,0,0.229139876,0.005968701,0.081353876,4.85E-05,0.000776416,0.000145578,0.005410651,0.000606575,0.011670508,0.01458207,0.229042824,0.069489264,0.00128594,0.035521048,0.002135145,0.031032391,0.003057139,0.232949169,0.000145578,0.002402038,9.71E-05,0.012543977,0,0,0,0.000776416,0.025937159,21-Mar
RESLINK|DESKTOP,0.023247572,0.000248069,0,0,0.133514069,0.078726345,0.064958537,0.000389822,3.54E-05,0.004713304,0.000124034,0.009497484,0.000478418,0.134045645,0.002250337,0.190250904,0.008416614,0.001382097,0.026118081,0.00065561,0.007920476,0.000106315,0.293571479,0.002144022,0.001027713,3.54E-05,0,5.32E-05,0,0.015911829,0.000177192,21-Mar
RESLINK|MOBILE,0.000796261,0.014575039,0,0,0.086377012,0.006058508,0.119889216,0.00010386,0.000415441,0.0001731,0.006404708,0.000553921,0.00737407,0.009728233,0.065674225,0.282395707,0.001073221,0.013605678,0.001280942,0.010524494,0.000484681,0.003046564,0.006508568,0.356482603,0.00013848,0.000623161,0,0,3.46E-05,0.00031158,0.005366107,21-Mar
SOCIAL MEDIA|DESKTOP,0.008825634,0,0,0,0.030293393,0.129045082,0.048978294,0.014232329,0,0.003896001,0,0.021706289,0.000238531,0.157748271,0.002146776,0.053907927,0.006599348,0.001431184,0.03291723,0.000874612,0.302218335,0.000238531,0.004850123,0,0.132225491,7.95E-05,0,0.000238531,0,0.047070049,0.000238531,21-Mar
SOCIAL MEDIA|MOBILE,0.000872347,0.001453911,0,0,0.074731026,0.009305031,0.095958127,0,0.018610061,0,0.003780169,0.000581564,0.013666764,0.010758942,0.104390811,0.170979936,0.001163129,0.009014248,0.001744693,0.024134923,0.001453911,0.283803431,0,0.007269555,0.000872347,0.128525734,0,0,0,0.000872347,0.036056993,21-Mar
Start,0.010029306,0.002002883,3.97E-06,0,0,0.183237731,0.313118859,0.002035147,0.001421129,0.004206302,0.00302542,0.025558474,0.012788668,0.248423505,0.076678401,0,0.008307869,0.005758971,0.028707493,0.019012249,0.011391366,0.003995838,0.007771782,0.004418256,0.000782291,0.000414972,0,0.000422914,3.52E-05,0.021636596,0.004814365,21-Mar
TEST|DESKTOP,0.007808687,0,0,0,0.003904344,0.245485603,0.08443143,0.002440215,0,0.003416301,0,0.057589068,0,0.214738897,0.002440215,0.031722792,0.010248902,0.000488043,0.036115178,0,0.009272816,0,0.007808687,0.000488043,0.002928258,0,0,0.252318204,0,0.025866276,0.000488043,21-Mar
TEST|MOBILE,0,0.010928962,0,0,0.005464481,0.043715847,0.256830601,0,0,0,0.005464481,0.005464481,0.081967213,0.032786885,0.202185792,0.038251366,0,0,0,0.038251366,0,0.005464481,0,0.010928962,0,0.005464481,0,0,0.234972678,0,0.021857923,21-Mar
UNPAID REFERRER|DESKTOP,0.009543719,0.000116387,0,0,0.103270917,0.131288805,0.076922733,0.000765467,5.82E-05,0.003670661,9.40E-05,0.016441876,0.000519264,0.149512294,0.003621421,0.108790338,0.030529157,0.002453076,0.037163206,0.000957953,0.041415801,8.51E-05,0.004216784,7.61E-05,0.001839807,2.69E-05,0,0.000107434,0,0.275518929,0.000993764,21-Mar
UNPAID REFERRER|MOBILE,0.000613654,0.005369471,0,0,0.115980568,0.013935055,0.140092048,0.000102276,0.001661979,0.000127845,0.006468934,0.000843774,0.015443621,0.01569931,0.159294298,0.145870621,0.001892099,0.044336487,0.002914856,0.038941447,0.001457428,0.024546152,0.000153413,0.004730248,7.67E-05,0.001687548,0,0,0,0.007082588,0.250677576,21-Mar
AFFILIATE|DESKTOP,0.245636077,0.000843651,0,0,0.219446468,0.081020879,0.070551105,0.000443069,7.28E-05,0.002755523,9.71E-05,0.013619811,0.000461277,0.11426924,0.002798009,0.169009468,0.007598932,0.001905802,0.032708182,0.001377762,0.004570284,0.00010318,0.019476815,0.000151736,0.000631221,0,0,1.21E-05,0,0.010342316,9.71E-05,21-Apr
AFFILIATE|MOBILE,0.007835074,0.16887086,0,0,0.199377639,0.011058013,0.099855523,0.000111136,0.000722383,0.000111136,0.003111803,0.000722383,0.011224717,0.013336297,0.104078684,0.257835074,0.001389198,0.010946877,0.00211158,0.034896644,0.00027784,0.004723272,0.00027784,0.054845521,5.56E-05,0.000333407,0,0,0,0.00133363,0.010557902,21-Apr
B2B|DESKTOP,0.026315789,0,0.236842105,0,0.236842105,0,0.157894737,0,0,0,0,0,0,0.131578947,0,0.105263158,0,0,0.078947368,0,0,0,0.026315789,0,0,0,0,0,0,0,0,21-Apr
B2B|MOBILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Apr
CONVERSION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Apr
DIRECT|DESKTOP,0.0098116,0.000161002,9.10E-07,0,0.111587448,0.444282229,0.126588876,0.000724056,9.91E-05,0.007942789,0.000204209,0.023743317,0.000871869,0.100843944,0.004133306,0.091723654,0.019480844,0.002807537,0.025422017,0.00120479,0.008824209,9.19E-05,0.002656996,0.000124163,0.000807741,1.32E-05,0,1.59E-05,9.10E-07,0.015622243,0.000209212,21-Apr
DIRECT|MOBILE,0.004422241,0.00081511,1.42E-06,1.78E-07,0.008542107,0.069334035,0.757765039,0.000502592,0.000295967,0.001020134,0.002044895,0.006948371,0.005198375,0.047691431,0.016792163,0.04464153,0.003256348,0.006907793,0.008146298,0.005153526,0.001066762,0.000864764,0.001280506,0.001152723,0.000131343,7.08E-05,0,4.98E-06,3.56E-07,0.004580458,0.001367712,21-Apr
DISPLAY|DESKTOP,0.009385299,0.000143287,0,0,0.202177962,0.129818026,0.068921049,0.235850408,0.000931366,0.003438888,7.16E-05,0.016048144,0.000644792,0.066986674,0.00143287,0.21686488,0.009600229,0.000429861,0.014973492,0.000358218,0.006161341,0,0.001647801,0,0.004155323,7.16E-05,0,0,0,0.009743516,0.000143287,21-Apr
DISPLAY|MOBILE,0.002074115,0.002488938,0,0,0.158324115,0.015348451,0.238246681,0.001935841,0.217367257,0,0.004701327,0.000553097,0.015348451,0.013550885,0.062223451,0.226769912,0.000829646,0.006084071,0.002903761,0.012997788,0.000414823,0.002627212,0.000414823,0.001935841,0.000138274,0.00414823,0,0,0,0.00096792,0.007605088,21-Apr
ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,0.00877381,0.000138667,0,0,0.055781764,0.201116896,0.123350183,0.000592484,2.52E-05,0.239981343,0.001247999,0.058038247,0.000768969,0.130056601,0.003693572,0.102726688,0.012971624,0.002722906,0.030040213,0.000983272,0.006706418,8.82E-05,0.003151512,0.000163879,0.001121938,0,0,0,0,0.015593682,0.000163879,21-Apr
ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,0.000757491,0.001113958,0,0,0.03413167,0.016085552,0.241728863,2.23E-05,0.00080205,0.001982845,0.2629609,0.001136237,0.050885597,0.010894508,0.119327169,0.200891166,0.00291857,0.015149827,0.002138799,0.0216999,0.000401025,0.003564665,0.000311908,0.003542386,8.91E-05,0.000289629,0,0,2.23E-05,0.001225354,0.005926256,21-Apr
EMAIL|DESKTOP,0.009091476,5.67E-05,2.83E-06,0,0.066416786,0.142078035,0.083746969,0.000660116,5.38E-05,0.004963623,6.52E-05,0.221816142,0.001371229,0.086517758,0.002249496,0.104066091,0.006125201,0.001739534,0.025016432,0.000589289,0.003847374,7.65E-05,0.001940686,9.63E-05,0.000980259,5.67E-06,0,4.25E-05,0,0.01153079,0.000110492,21-Apr
EMAIL|MOBILE,0.001085575,0.001727653,0,0,0.037220663,0.014258102,0.131248676,5.30E-05,0.000747988,0.000172103,0.006050095,0.004322442,0.159592777,0.013119572,0.072899015,0.218273406,0.002005666,0.010365918,0.002369731,0.016581498,0.00051631,0.002886041,0.000278013,0.001542311,0,0.00031111,0,0,6.62E-06,0.000920091,0.004335681,21-Apr
NATURAL SEARCH|DESKTOP,0.012507129,0.000128159,1.59E-06,0,0.154539335,0.093399665,0.068712158,0.000497807,4.77E-05,0.004296496,0.000119156,0.014555022,0.000610608,0.334551018,0.005514004,0.162131418,0.008225462,0.001339842,0.099610069,0.00115131,0.015236593,0.000182176,0.004289611,0.00012604,0.001034803,1.43E-05,0,1.27E-05,5.30E-07,0.01700063,0.0001647,21-Apr
NATURAL SEARCH|MOBILE,0.0010521,0.003842074,0,0,0.159938263,0.012854368,0.111557299,5.73E-05,0.000626746,0.000236115,0.00912167,0.001118073,0.027457026,0.023427449,0.39641418,0.155846185,0.001265645,0.012890826,0.003322969,0.045472933,0.000720497,0.017311034,0.00019792,0.003430609,5.38E-05,0.000598968,0,0,6.94E-06,0.001147587,0.010031407,21-Apr
Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-Apr
OTHER|DESKTOP,0.010460062,0.00022571,1.29E-05,0,0.102272581,0.307578708,0.054834716,0.001205938,4.51E-05,0.005616963,0.000561051,0.011769182,0.001799234,0.110153096,0.00569435,0.069183444,0.262739737,0.001973353,0.016986316,0.001625114,0.009009067,0.000238608,0.004417474,0.000303097,0.000786762,3.87E-05,0,1.29E-05,0,0.020055976,0.00039983,21-Apr
OTHER|MOBILE,0.003263018,0.001537384,0,0,0.040400766,0.046466633,0.141868078,7.84E-05,0.000402648,0.000836671,0.002394972,0.006322098,0.007707834,0.03276614,0.047486326,0.037237102,0.002431576,0.598371628,0.006510349,0.008931466,0.001024922,0.002719182,0.000664108,0.001934802,0.000146417,0.000188251,0,5.23E-06,0,0.004214732,0.004089231,21-Apr
PAID SEARCH|DESKTOP,0.016926717,0.000154997,1.78E-06,0,0.18210874,0.093625179,0.085175182,0.00040798,8.02E-05,0.004277555,0.000185284,0.014585731,0.000723318,0.187410699,0.004933173,0.070167218,0.005141617,0.001902719,0.303503283,0.002704426,0.008321723,0.000156778,0.002868331,0.000151434,0.000976302,2.32E-05,0,1.25E-05,1.78E-06,0.013240644,0.000231604,21-Apr
PAID SEARCH|MOBILE,0.00204683,0.004854092,0,0,0.136320142,0.013656095,0.126238079,8.24E-05,0.000576661,0.000253477,0.004898451,0.001102627,0.011831057,0.018865055,0.149260163,0.188118247,0.001362441,0.009308957,0.006647445,0.307981369,0.000411901,0.005481449,0.000152086,0.0018187,4.44E-05,0.000481607,0,0,0,0.001077279,0.007129052,21-Apr
REFERRAL ENGINE|DESKTOP,0.01258596,0.000154534,0,0,0.139862121,0.106156475,0.05576971,0.000832768,5.15E-05,0.005099632,0.000154534,0.015504941,0.000712575,0.228650658,0.005236996,0.054293049,0.020467209,0.001236274,0.045493179,0.001210519,0.25767735,0.000841353,0.003708823,0.000145949,0.009306399,2.58E-05,0,0,0,0.034598511,0.000223216,21-Apr
REFERRAL ENGINE|MOBILE,0.000577209,0.00368314,0,0,0.242565005,0.006211863,0.083337914,0.000137431,0.000604695,8.25E-05,0.005991974,0.000632181,0.012258809,0.013138365,0.220741026,0.070556869,0.000797097,0.024655049,0.002253862,0.032516079,0.002473751,0.24146556,0.000247375,0.002721126,2.75E-05,0.006926502,0,2.75E-05,0,0.00049475,0.024874938,21-Apr
RESLINK|DESKTOP,0.027199608,0.000216213,4.32E-05,0,0.12554774,0.079782634,0.067011647,0.000216213,5.77E-05,0.004569304,0.000100899,0.010695341,0.00044684,0.132783672,0.0025369,0.197993542,0.007466559,0.000908095,0.026377998,0.000432426,0.005073801,0.000115314,0.293559732,0.002940498,0.001124308,0,0,2.88E-05,1.44E-05,0.012612431,0.000144142,21-Apr
RESLINK|MOBILE,0.001102824,0.015932902,0,0,0.080070813,0.006965203,0.120410947,2.90E-05,0.000406304,0.000116087,0.007400528,0.000435325,0.008735525,0.009983458,0.063702586,0.276663668,0.001160867,0.011550628,0.001451084,0.011289433,0.000203152,0.003192385,0.007719767,0.365005659,2.90E-05,0.000609455,0,0,0,0.00052239,0.005310967,21-Apr
SOCIAL MEDIA|DESKTOP,0.012440758,0.000197472,0,0,0.035446288,0.138329384,0.053021327,0.01471169,0.000197472,0.004146919,9.87E-05,0.026066351,0.000394945,0.166962875,0.001777251,0.046208531,0.008293839,0.001777251,0.036236177,0.000789889,0.246248025,0.000197472,0.006022907,9.87E-05,0.147511848,0,0,0,0,0.052725118,9.87E-05,21-Apr
SOCIAL MEDIA|MOBILE,0.001207729,0.002012882,0,0,0.104669887,0.007246377,0.102657005,0.000402576,0.017310789,0,0.006441224,0,0.018115942,0.012882448,0.104669887,0.157004831,0.000805153,0.010064412,0.002012882,0.031803543,0,0.175925926,0.000402576,0.009661836,0,0.174718196,0,0,0,0.001207729,0.058776167,21-Apr
Start,0.015091319,0.002357509,3.83E-06,0,0,0.193963856,0.316651647,0.001936628,0.001316811,0.005010786,0.003344998,0.025003116,0.012555007,0.234243804,0.076861608,0,0.009046546,0.005749485,0.029398878,0.01812473,0.00706342,0.004168065,0.009297733,0.004850678,0.000671588,0.000324529,0,1.34E-05,2.88E-06,0.018582522,0.004364604,21-Apr
TEST|DESKTOP,0.003759398,0,0,0,0.033834586,0.172932331,0.101503759,0,0,0,0,0.045112782,0,0.097744361,0,0.041353383,0.003759398,0,0.037593985,0,0.007518797,0.003759398,0.003759398,0,0,0,0,0.413533835,0,0.033834586,0,21-Apr
TEST|MOBILE,0.05,0,0,0,0.1,0,0.1,0,0,0,0.1,0,0.05,0.1,0.25,0.15,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,21-Apr
UNPAID REFERRER|DESKTOP,0.010415702,0.000157463,4.63E-06,0,0.09677016,0.143388414,0.082283581,0.000690058,6.48E-05,0.004538634,7.41E-05,0.018701024,0.000629851,0.149677664,0.003654063,0.108556714,0.030501473,0.00227858,0.038564495,0.00088457,0.023712047,0.000138938,0.004325596,0.000106519,0.001333803,4.63E-06,0,5.09E-05,0,0.277593042,0.000898464,21-Apr
UNPAID REFERRER|MOBILE,0.00088992,0.005932798,0,0,0.115770455,0.013025187,0.145946821,0.000134836,0.001429265,8.09E-05,0.006553045,0.000997789,0.01752872,0.015209536,0.158189957,0.16180357,0.001321396,0.04185319,0.00285853,0.037079985,0.000404509,0.016396095,0.000188771,0.005393452,0,0.001860741,0,0,0,0.006580012,0.242570519,21-Apr
AFFILIATE|DESKTOP,0.261376457,0.000576658,0,0,0.196464836,0.094942961,0.078621035,0.000591701,0.000110317,0.003123981,9.53E-05,0.016998872,0.00051147,0.121539426,0.00296352,0.146506205,0.006874765,0.001258619,0.031099411,0.001434123,0.004803811,8.52E-05,0.019155071,0.000115332,0.000722076,5.01E-06,0,1.50E-05,0,0.009843299,0.000165476,21-May
AFFILIATE|MOBILE,0.011185827,0.171796198,0,0,0.196042933,0.014935989,0.110241821,6.47E-05,0.000581922,6.47E-05,0.003620846,0.001487133,0.009892668,0.012414328,0.105586448,0.236130868,0.001293159,0.00918143,0.001875081,0.025927842,0.000581922,0.004073451,0.000452606,0.070994439,0,0.000193974,0,0,0,0.000905211,0.010474589,21-May
B2B|DESKTOP,0,0,0.243902439,0,0.243902439,0.219512195,0.024390244,0,0,0,0,0,0,0.12195122,0,0.048780488,0.024390244,0,0,0,0.024390244,0,0.024390244,0,0,0,0,0,0,0.024390244,0,21-May
B2B|MOBILE,0,0,0,0.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,21-May
CONVERSION,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-May
DIRECT|DESKTOP,0.011489457,0.000135238,4.95E-06,0,0.114384539,0.450091822,0.128319412,0.001026654,0.000119158,0.008301881,0.000195435,0.020665849,0.000707113,0.10275366,0.003985398,0.089605888,0.013514728,0.001716038,0.022235517,0.001049331,0.009837327,0.000105552,0.002865973,0.000129466,0.000661347,1.15E-05,0,4.08E-05,2.06E-06,0.015859541,0.000184303,21-May
DIRECT|MOBILE,0.004652685,0.000698261,4.88E-07,0,0.00872533,0.072993269,0.764772707,0.000577276,0.000293517,0.001070482,0.001880132,0.006368416,0.003892469,0.048935641,0.015688422,0.041412997,0.002508632,0.004279163,0.006944554,0.00398402,0.000978768,0.000681024,0.001410994,0.001170326,0.00010456,5.11E-05,0,6.50E-06,6.18E-06,0.004563248,0.001348875,21-May
DISPLAY|DESKTOP,0.010252453,5.51E-05,0,0,0.193859552,0.125289384,0.070719877,0.235420571,0.000496086,0.003527726,0.000110241,0.018189836,0.000606328,0.089185316,0.002590674,0.198158968,0.012126557,0.000330724,0.016260611,0.000661449,0.008102745,0.000165362,0.001818984,0.000110241,0.001874104,0,0,0.000110241,0,0.009866608,0.000110241,21-May
DISPLAY|MOBILE,0.00252738,0.001564569,0,0,0.161752317,0.019256228,0.193886148,0.001564569,0.246720424,0.000120351,0.0042123,0.001564569,0.014562523,0.017571308,0.066915393,0.223853653,0.000962811,0.006980383,0.003129137,0.016608497,0.000601757,0.0042123,0.000240703,0.001805271,0.000120351,0.003490191,0,0,0.000120351,0.000601757,0.00505476,21-May
ECONFO AND PRE-ARRIVAL EMAIL|DESKTOP,0.00927462,6.68E-05,0,0,0.05687246,0.196225575,0.121972944,0.000968658,7.79E-05,0.2463731,0.001079998,0.055580916,0.000545566,0.131603852,0.003885765,0.107498747,0.010477092,0.002416077,0.029304682,0.000846184,0.005789679,7.79E-05,0.003496075,0.000133608,0.000935256,2.23E-05,0,4.45E-05,1.11E-05,0.014329455,8.91E-05,21-May
ECONFO AND PRE-ARRIVAL EMAIL|MOBILE,0.000464561,0.001415804,0,0,0.035859658,0.015573843,0.227988674,0.000132732,0.00079639,0.002278559,0.263295284,0.000884877,0.04765065,0.012653747,0.117091408,0.220091142,0.002499779,0.01325104,0.001349438,0.021812229,0.000353951,0.003782851,0.000376073,0.003782851,0,0.000287585,0,0,4.42E-05,0.000906999,0.00537563,21-May
EMAIL|DESKTOP,0.010643897,0.000103291,0,0,0.09594017,0.120157002,0.07331943,0.000823869,5.41E-05,0.004657934,7.38E-05,0.220083715,0.001234574,0.095300749,0.002761806,0.101783492,0.005240791,0.001010777,0.027145872,0.00089027,0.004052944,8.61E-05,0.002102711,0.00010575,0.000602531,1.23E-05,0,0.000573019,0,0.010245488,0.000110669,21-May
EMAIL|MOBILE,0.001062624,0.001379301,0,0,0.040879375,0.01339892,0.114369357,7.04E-05,0.001069662,0.00012667,0.006094257,0.004447541,0.15990739,0.013947826,0.081596892,0.200561572,0.001928206,0.008789523,0.002294143,0.017600158,0.000534831,0.003152687,0.000232229,0.001907094,1.41E-05,0.000239266,0,2.11E-05,0.000619278,0.001013364,0.004630509,21-May
NATURAL SEARCH|DESKTOP,0.013806054,9.15E-05,9.73E-07,0,0.157942616,0.095382415,0.069832946,0.000732626,7.35E-05,0.004342729,0.000124537,0.023966978,0.000507389,0.332814431,0.00539448,0.162974674,0.007264961,0.000925268,0.088229342,0.001002131,0.012613226,0.000177076,0.004577694,0.000133293,0.000830893,1.12E-05,0,4.62E-05,9.73E-07,0.016040416,0.000159563,21-May
NATURAL SEARCH|MOBILE,0.001177217,0.003548937,1.73E-06,0,0.164402411,0.013837917,0.110506272,0.000108906,0.000764067,0.000252384,0.009047803,0.00137947,0.027748439,0.024446699,0.39941191,0.152844595,0.00099225,0.011208627,0.002931806,0.044706586,0.000726037,0.015393711,0.000288686,0.003714889,3.80E-05,0.000369933,0,3.46E-06,4.67E-05,0.001251549,0.008849007,21-May
Null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21-May
OTHER|DESKTOP,0.011791751,0.000163671,1.49E-05,0,0.117895191,0.264507202,0.062224735,0.001673908,8.18E-05,0.006293894,0.000446375,0.014060826,0.00145816,0.116109689,0.005252351,0.073101416,0.265228842,0.001354005,0.020555589,0.001368885,0.009559874,0.000245506,0.0043596,0.000252946,0.000557969,7.44E-06,0,2.98E-05,7.44E-06,0.020964766,0.000431496,21-May
OTHER|MOBILE,0.00324575,0.001486715,0,0,0.042614264,0.043011702,0.15304335,0.000176639,0.000684478,0.001045117,0.00309855,0.005475822,0.007617576,0.032037977,0.054449106,0.036667403,0.001663355,0.58130566,0.005932141,0.010598366,0.000875837,0.003613748,0.000868477,0.002127033,0.00015456,0.000198719,0,0,3.68E-05,0.003805108,0.004165747,21-May
PAID SEARCH|DESKTOP,0.019395333,0.000147858,1.85E-06,0,0.173375128,0.094786511,0.086417722,0.000633943,0.000109046,0.004598398,0.000136769,0.019535798,0.000661667,0.193772202,0.004448691,0.064340607,0.005949455,0.001375084,0.3023613,0.002234511,0.008363244,0.00017743,0.00333236,0.00014601,0.000739292,1.48E-05,0,2.96E-05,0,0.012695497,0.000219939,21-May
PAID SEARCH|MOBILE,0.002351743,0.003752069,0,6.70E-06,0.107309164,0.015497384,0.115463213,0.000120602,0.000804015,0.000234504,0.005614703,0.001876034,0.012334926,0.022117105,0.153097802,0.192997032,0.00109882,0.00985588,0.00598991,0.331501966,0.000643212,0.006787224,0.000174203,0.002479045,4.69E-05,0.000395307,0,0,1.34E-05,0.001125621,0.006311516,21-May
REFERRAL ENGINE|DESKTOP,0.014081306,0.000113629,0,0,0.155296442,0.119013697,0.051343012,0.001258664,0.000104889,0.004702509,0.000131111,0.017227967,0.000594369,0.220650834,0.005471693,0.052470566,0.017970928,0.001031405,0.042794584,0.001022665,0.253533438,0.00097022,0.0036274,0.00012237,0.005087101,2.62E-05,0,1.75E-05,0,0.031038311,0.000297185,21-May
REFERRAL ENGINE|MOBILE,0.000507543,0.002960665,0,0,0.238545044,0.008487241,0.080022557,0.000140984,0.000902298,0.000140984,0.00504723,0.000535739,0.012181024,0.013929226,0.216043987,0.076977302,0.000930495,0.021091217,0.002086564,0.036345693,0.002030171,0.24982377,8.46E-05,0.002932469,2.82E-05,0.006259693,0,0,5.64E-05,0.00062033,0.021288594,21-May
RESLINK|DESKTOP,0.025756451,0.000267663,0,0,0.116238609,0.085189736,0.071344275,0.000401494,6.08E-05,0.005134257,0.000170331,0.011971822,0.000291996,0.134524838,0.002262966,0.192571144,0.006533403,0.001009818,0.024661468,0.000401494,0.004781429,0.000121665,0.300098549,0.002627961,0.000766489,0,0,1.22E-05,0,0.012653146,0.000145998,21-May
RESLINK|MOBILE,0.001082909,0.014579647,0,0,0.084123504,0.006946462,0.123319511,5.28E-05,0.000396186,7.92E-05,0.008584031,0.000739547,0.008293495,0.009693352,0.06428779,0.270119648,0.001003671,0.009983888,0.001505507,0.011383746,0.000422598,0.003063839,0.007791659,0.367264467,0,0.000528248,0,0,0,0.000449011,0.004305222,21-May
SOCIAL MEDIA|DESKTOP,0.015538552,0,0,0,0.044025898,0.149970571,0.058387287,0.010241318,0,0.006592113,0.000117716,0.022954679,0.000470865,0.182577987,0.003060624,0.056386109,0.007062978,0.002354326,0.034844026,0.000353149,0.16656857,0.000117716,0.006709829,0.000117716,0.170924073,0.000117716,0,0,0,0.06050618,0,21-May
SOCIAL MEDIA|MOBILE,0.001557632,0.002596054,0,0,0.106957425,0.009345794,0.101765317,0.000519211,0.01973001,0,0.003634476,0.001038422,0.018172378,0.011941848,0.114745587,0.180166147,0.002596054,0.009865005,0.003115265,0.026998962,0.000519211,0.130841121,0,0.010903427,0,0.180685358,0,0,0,0,0.062305296,21-May
